Year,Name,Count
2006,Andrew,8
2006,Anna,2
2006,Benjamin,4
2006,Daniel,9
2006,David,1
2006,Elizabeth,2
2006,Ethan,26
2006,Gabriel,1
2006,Hannah,18
2006,Isaiah,1
2006,Jacob,44
2006,James,7
2006,John,3
2006,Joseph,4
2006,Joshua,18
2006,Matthew,7
2006,Michael,20
2006,Samuel,1
2007,Abigail,18
2007,Alexander,11
2007,Andrew,3
2007,Benjamin,1
2007,Chloe,2
2007,Daniel,11
2007,David,1
2007,Elijah,1
2007,Elizabeth,4
2007,Ethan,30
2007,Gabriel,1
2007,Hannah,6
2007,Isaac,1
2007,Isaiah,2
2007,Jacob,40
2007,James,6
2007,John,3
2007,Joseph,3
2007,Joshua,16
2007,Matthew,5
2007,Michael,19
2007,Samuel,2
2008,Abigail,16
2008,Alexander,13
2008,Andrew,1
2008,Anna,1
2008,Benjamin,5
2008,Chloe,4
2008,Daniel,9
2008,David,1
2008,Elijah,3
2008,Elizabeth,2
2008,Ethan,29
2008,Gabriel,1
2008,Isaiah,2
2008,Jacob,41
2008,James,7
2008,John,3
2008,Joseph,2
2008,Joshua,11
2008,Matthew,5
2008,Michael,18
2008,Samuel,2
2009,Abigail,17
2009,Alexander,12
2009,Anna,2
2009,Benjamin,2
2009,Chloe,1
2009,Daniel,9
2009,Elijah,1
2009,Elizabeth,1
2009,Ethan,28
2009,Isaac,1
2009,Jacob,37
2009,James,8
2009,John,1
2009,Joshua,11
2009,Matthew,5
2009,Michael,15
2009,Samuel,1
2010,Abigail,9
2010,Alexander,13
2010,Benjamin,2
2010,Chloe,3
2010,Daniel,7
2010,Elijah,9
2010,Ethan,18
2010,Gabriel,1
2010,Jacob,43
2010,James,10
2010,John,3
2010,Joseph,2
2010,Joshua,3
2010,Matthew,1
2010,Michael,15
2010,Samuel,3
2011,Abigail,5
2011,Alexander,7
2011,Benjamin,5
2011,Chloe,1
2011,Daniel,7
2011,David,1
2011,Elijah,10
2011,Elizabeth,1
2011,Ethan,8
2011,Jacob,37
2011,James,7
2011,John,2
2011,Joseph,1
2011,Joshua,1
2011,Matthew,2
2011,Michael,12
2011,Samuel,1
2012,Abigail,7
2012,Alexander,7
2012,Benjamin,2
2012,Chloe,2
2012,Daniel,5
2012,Elijah,9
2012,Elizabeth,1
2012,Ethan,17
2012,Gabriel,1
2012,Jacob,31
2012,James,10
2012,John,3
2012,Joseph,2
2012,Joshua,1
2012,Matthew,2
2012,Michael,11
2012,Samuel,1
2013,Abigail,7
2013,Alexander,5
2013,Benjamin,5
2013,Chloe,1
2013,Daniel,3
2013,Elijah,12
2013,Elizabeth,1
2013,Ethan,8
2013,Jacob,20
2013,James,8
2013,John,3
2013,Joseph,1
2013,Josiah,1
2013,Matthew,2
2013,Michael,9
2013,Samuel,4
2014,Abigail,8
2014,Alexander,9
2014,Benjamin,10
2014,Daniel,5
2014,Elijah,11
2014,Elizabeth,3
2014,Ethan,3
2014,Gabriel,1
2014,Jacob,14
2014,James,11
2014,John,3
2014,Joseph,1
2014,Matthew,1
2014,Michael,9
2014,Samuel,1
2015,Abigail,3
2015,Alexander,7
2015,Benjamin,4
2015,Daniel,2
2015,Elijah,11
2015,Elizabeth,2
2015,Ethan,5
2015,Ezekiel,1
2015,Jacob,11
2015,James,17
2015,John,2
2015,Joseph,1
2015,Josiah,1
2015,Levi,2
2015,Lucas,2
2015,Luke,1
2015,Matthew,1
2015,Michael,7
2016,Abigail,4
2016,Alexander,4
2016,Benjamin,13
2016,Daniel,4
2016,Elijah,15
2016,Elizabeth,2
2016,Ethan,4
2016,Gabriel,1
2016,Jacob,5
2016,James,16
2016,John,2
2016,Joseph,1
2016,Josiah,1
2016,Lucas,2
2016,Matthew,3
2016,Michael,7
2017,Alexander,2
2017,Benjamin,9
2017,Chloe,1
2017,Daniel,2
2017,Elijah,16
2017,Ethan,1
2017,Jacob,5
2017,James,15
2017,John,2
2017,Joseph,1
2017,Lucas,6
2017,Matthew,3
2017,Michael,4
2017,Samuel,1
2018,Abigail,1
2018,Alexander,3
2018,Benjamin,11
2018,Daniel,1
2018,Elijah,18
2018,Elizabeth,2
2018,Ethan,4
2018,Ezra,1
2018,Jacob,2
2018,James,13
2018,John,2
2018,Levi,1
2018,Lucas,4
2018,Matthew,1
2018,Michael,3
2019,Alexander,3
2019,Asher,2
2019,Benjamin,11
2019,Elijah,18
2019,Elizabeth,1
2019,Ethan,1
2019,Ezekiel,2
2019,Jacob,2
2019,James,16
2019,John,2
2019,Joseph,1
2019,Lucas,7
2019,Matthew,1
2019,Michael,1
2020,Alexander,1
2020,Asher,3
2020,Benjamin,11
2020,Elijah,21
2020,Ezekiel,1
2020,Jacob,3
2020,James,14
2020,John,4
2020,Joseph,2
2020,Lucas,5
2020,Michael,2
2021,Asher,5
2021,Benjamin,6
2021,Elijah,16
2021,Ezekiel,2
2021,Jacob,1
2021,James,16
2021,John,2
2021,Joseph,2
2021,Levi,1
2021,Lucas,7
2021,Michael,2
2022,Asher,5
2022,Benjamin,4
2022,Elijah,7
2022,Ethan,1
2022,Ezekiel,1
2022,Jacob,1
2022,James,17
2022,John,3
2022,Joseph,2
2022,Lucas,5
2022,Luke,1
2022,Michael,3
2023,Asher,1
2023,Benjamin,3
2023,David,1
2023,Elijah,12
2023,Elizabeth,1
2023,Ezekiel,2
2023,James,16
2023,John,3
2023,Joseph,2
2023,Levi,2
2023,Lucas,7
2023,Michael,2
